Row Labels,Average of height,Average of weight
Afghanistan,57,0
AIN,39.71875,0
Albania,44.25,0
Algeria,59.19565217,0
American Samoa,76,0
Andorra,85.5,0
Angola,112.2,0
Antigua and Barbuda,69.6,0
Argentina,97.69230769,8.809859155
Armenia,24.86666667,0
Aruba,0,0
Australia,78.7394958,4.12
Austria,36.05952381,0
Azerbaijan,45.5625,0
Bahamas,160.6842105,0
Bahrain,95.73333333,0
Bangladesh,34,0
Barbados,82.75,0
Belgium,67.81355932,0
Belize,175,0
Benin,71,0
Bermuda,22.75,0
Bhutan,53,0
Bolivia,81.25,0
Bosnia & Herzegovina,39.6,0
Botswana,150.4285714,0
Brazil,98.8862069,3.124137931
Brunei Darussalam,59.33333333,0
Bulgaria,48.95652174,0
Burkina Faso,45.25,0
Burundi,98.57142857,0
Côte d'Ivoire,90.84615385,0
Cabo Verde,74.42857143,0
Cambodia,56.66666667,0
Cameroon,59.5,0
Canada,85.52108434,2.942598187
Cayman Islands,44,0
Centr Afric Re,45.75,0
Chad,57,0
Chile,61.85416667,0
China,70.92713568,2.376884422
Chinese Taipei,69.66666667,0
Colombia,88.54545455,0
Comoros,45.75,0
Congo,42,0
Cook Islands,90.5,0
Costa Rica,29.16666667,0
Croatia,107.369863,0
Cuba,72.42622951,0
Cyprus,35.26666667,0
Czechia,78.0990991,0
Denmark,74.28244275,0
Djibouti,95.71428571,0
Dominica,76,0
Dominican Republic,126,0
DPR Korea,35,0
DR Congo,89.83333333,0
Ecuador,75.05,0
Egypt,69.94267516,0
El Salvador,20.375,0
EOR,32.75675676,0
Equatorial Guinea,111.6666667,0
Eritrea,124.3636364,0
Estonia,47.04166667,0
Eswatini,60.66666667,0
Ethiopia,164.9411765,0
Fiji,132.5,57.77777778
Finland,95.85964912,0
France,94.855,3.196666667
Gabon,35.4,0
Gambia,73.42857143,0
Georgia,19.10714286,0
Germany,83.94967177,0
Ghana,135.5555556,0
Great Britain,53.24340176,2.835294118
Greece,101.95,0
Grenada,121.5,0
Guam,43.25,0
Guatemala,66.6875,0
Guinea,142.8,0
Guinea-Bissau,29.16666667,0
Guyana,65.6,0
Haiti,76.71428571,0
Honduras,42.5,0
"Hong Kong, China",35.14705882,0
Hungary,85.02824859,0
Iceland,38,0
India,76.07142857,0
Indonesia,80.72413793,0
IR Iran,12.51219512,0
Iraq,156.7391304,0
Ireland,84.9020979,15.0979021
Israel,53.69662921,0
Italy,73.55667506,0
Jamaica,163.2923077,0
Japan,94.53472222,4.516203704
Jordan,57.58333333,0
Kazakhstan,51.88607595,0
Kenya,162.92,15.12
Kiribati,0,0
Korea,49.45578231,0
Kosovo,36.55555556,0
Kuwait,39.22222222,0
Kyrgyzstan,21.6875,0
Lao PDR,40,0
Latvia,95.48275862,0
Lebanon,41.33333333,0
Lesotho,0,0
Liberia,175.625,0
Libya,0,0
Liechtenstein,0,0
Lithuania,62.25490196,0
Luxembourg,55.61538462,0
Madagascar,50.57142857,0
Malawi,56,0
Malaysia,73.19230769,0
Maldives,66.8,0
Mali,151.0833333,0
Malta,35.6,0
Marshall Islands,45,0
Mauritania,0,0
Mauritius,57.5,0
Mexico,42.7037037,0
Micronesia,58,0
Monaco,27.83333333,0
Mongolia,25.65625,0
Montenegro,158.2631579,0
Morocco,110.8852459,0
Mozambique,74,0
Myanmar,79,0
Namibia,41.25,0
Nauru,174,0
Nepal,47.57142857,0
Netherlands,67.61591696,0
New Zealand,75.71634615,9.802884615
Nicaragua,23.71428571,0
Niger,25.28571429,0
Nigeria,139.9534884,0
North Macedonia,29.66666667,0
Norway,109.0642202,0
Oman,81.75,0
Pakistan,50.42857143,0
Palau,50.66666667,0
Palestine,87.875,0
Panama,67.625,0
Papua New Guinea,47.28571429,0
Paraguay,148.6206897,0
Peru,62.30769231,0
Philippines,68.36363636,0
Poland,85.47345133,0
Portugal,56.86666667,0
Puerto Rico,125.3333333,0
Qatar,128.6153846,0
Republic of Moldova,35.30769231,0
Romania,56.84375,0
Rwanda,47.42857143,0
Saint Lucia,88,0
Samoa,104.9166667,45.54166667
San Marino,32.4,0
Sao Tome & Principe,56,0
Saudi Arabia,45.625,0
Senegal,50.54545455,0
Serbia,130.9824561,0
Seychelles,60,0
Sierra Leone,42.5,0
Singapore,51.39130435,0
Slovakia,49.10714286,0
Slovenia,111.3789474,0
Solomon Islands,76,0
Somalia,178,0
South Africa,85.71631206,14.03546099
South Sudan,199.0714286,0
Spain,97.40897756,0
Sri Lanka,111.8333333,0
St Kitts and Nevis,115,0
StVincent&Grenadines,86.75,0
Sudan,0,0
Suriname,73.2,0
Sweden,91.768,0
Switzerland,61.72262774,0
Syria,27.16666667,0
Türkiye,65.77227723,0
Tajikistan,50,0
Tanzania,100.1428571,0
Thailand,75.59615385,0
Timor-Leste,44,0
Togo,34,0
Tonga,42,0
Trinidad and Tobago,133.3529412,0
Tunisia,33.65384615,0
Turkmenistan,26.66666667,0
Tuvalu,88,0
UA Emirates,12.53846154,0
Uganda,120.88,0
Ukraine,69.82978723,0
United States,94.38064516,3.320967742
Uruguay,113.4074074,42.96296296
Uzbekistan,71.90909091,0
Vanuatu,29,0
Venezuela,44.38709677,0
Vietnam,53.25,0
"Virgin Islands, B",129.25,0
"Virgin Islands, US",36,0
Yemen,45.75,0
Zambia,147.3225806,0
Zimbabwe,49.42857143,0
(blank),,
Grand Total,81.83517769,2.213712947
,,
