Row Labels,Count of country
United States,620
France,600
Australia,476
Germany,457
Japan,432
Spain,401
China,398
Italy,397
Great Britain,341
Canada,332
Brazil,290
Netherlands,289
Poland,226
New Zealand,208
Belgium,177
Hungary,177
Egypt,157
Korea,147
Ireland,143
Argentina,143
South Africa,141
Ukraine,141
Switzerland,137
Denmark,131
Sweden,125
Serbia,114
India,112
Czechia,111
Norway,109
Mexico,108
Türkiye,101
Greece,100
Romania,96
Slovenia,95
Israel,89
Uzbekistan,88
Colombia,88
Nigeria,86
Austria,84
Kazakhstan,79
Portugal,75
Kenya,75
Croatia,73
Jamaica,65
Morocco,61
Cuba,61
Chinese Taipei,60
Dominican Republic,59
Finland,57
Thailand,52
Lithuania,51
Puerto Rico,51
Chile,48
Azerbaijan,48
Algeria,46
Bulgaria,46
IR Iran,41
Ecuador,40
EOR,37
Fiji,36
Ethiopia,34
"Hong Kong, China",34
Mongolia,32
AIN,32
Venezuela,31
Zambia,31
Indonesia,29
Latvia,29
Paraguay,29
Slovakia,28
Georgia,28
Uruguay,27
Republic of Moldova,26
Tunisia,26
Peru,26
Malaysia,26
Angola,25
Uganda,25
Guinea,25
Samoa,24
Mali,24
Estonia,24
Iraq,23
Singapore,23
Philippines,22
Montenegro,19
Bahamas,19
Trinidad and Tobago,17
Vietnam,16
Guatemala,16
Kyrgyzstan,16
Armenia,15
Bahrain,15
Cyprus,15
DPR Korea,14
South Sudan,14
Tajikistan,14
Botswana,14
UA Emirates,13
Côte d'Ivoire,13
Luxembourg,13
Qatar,13
Jordan,12
Mauritius,12
Senegal,11
Eritrea,11
Kosovo,9
Ghana,9
Kuwait,9
Lebanon,9
Liberia,8
Palestine,8
Panama,8
Albania,8
Guam,8
Bermuda,8
El Salvador,8
Saudi Arabia,8
Burkina Faso,8
Gambia,7
Nicaragua,7
Mozambique,7
Pakistan,7
Tanzania,7
Madagascar,7
Burundi,7
Papua New Guinea,7
Cabo Verde,7
Djibouti,7
Niger,7
Zimbabwe,7
Haiti,7
Rwanda,7
Nepal,7
Costa Rica,6
Turkmenistan,6
Monaco,6
DR Congo,6
Vanuatu,6
Aruba,6
Syria,6
Afghanistan,6
Guinea-Bissau,6
North Macedonia,6
Libya,6
Grenada,6
Sri Lanka,6
Cameroon,6
Maldives,5
San Marino,5
Suriname,5
Malta,5
Antigua and Barbuda,5
"Virgin Islands, US",5
Iceland,5
Togo,5
Bosnia & Herzegovina,5
Guyana,5
Benin,5
Gabon,5
Bangladesh,5
Cayman Islands,4
Tonga,4
Yemen,4
Barbados,4
Congo,4
Namibia,4
Sierra Leone,4
Dominica,4
Saint Lucia,4
StVincent&Grenadines,4
Oman,4
Sudan,4
Honduras,4
Bolivia,4
Centr Afric Re,4
Comoros,4
"Virgin Islands, B",4
Marshall Islands,4
Lao PDR,4
Timor-Leste,4
Kiribati,3
St Kitts and Nevis,3
Sao Tome & Principe,3
Palau,3
Chad,3
Micronesia,3
Malawi,3
Bhutan,3
Lesotho,3
Cambodia,3
Brunei Darussalam,3
Seychelles,3
Equatorial Guinea,3
Eswatini,3
Cook Islands,2
Tuvalu,2
Mauritania,2
Solomon Islands,2
Andorra,2
Myanmar,2
American Samoa,2
Liechtenstein,1
Somalia,1
Belize,1
Nauru,1
(blank),
Grand Total,11115
